placa,hora_ingreso,hora_salida,peso_deposito,razon_social,municipio,tipo_residuo,tiempo_operacion_min
ODT904,2022-02-18 14:15:15,2022-02-18 14:37:26,4680,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.183333333333334
ODT904,2022-02-22 15:00:14,2022-02-22 15:44:43,5770,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,44.483333333333334
ODT904,2022-02-25 13:25:21,2022-02-25 13:52:07,7040,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.766666666666666
ODT904,2022-03-01 21:04:47,2022-03-01 21:42:22,3260,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,37.583333333333336
ODT904,2022-03-04 13:34:47,2022-03-04 14:03:20,5070,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,28.55
ODT904,2022-03-08 21:09:28,2022-03-08 21:53:11,6030,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,43.71666666666667
ODT904,2022-03-11 13:35:46,2022-03-11 13:57:32,4900,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,21.766666666666666
ODT904,2022-03-16 10:17:44,2022-03-16 10:43:15,5960,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,25.516666666666666
ODT904,2022-03-20 07:41:10,2022-03-20 08:08:01,4930,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.85
ODT904,2022-12-19 12:30:00,2022-12-19 13:20:00,6280,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,50.0
ODT904,2022-12-20 14:31:00,2022-12-20 15:26:00,3320,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,55.0
ODT904,2022-12-22 08:22:00,2022-12-22 08:51:00,4770,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,29.0
ODT904,2022-12-24 06:24:00,2022-12-24 06:52:00,5490,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,28.0
ODT904,2022-12-30 15:38:00,2022-12-30 16:12:00,6450,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,34.0
ODT904,2022-12-28 09:31:00,2022-12-28 10:00:00,4540,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,29.0
ODT904,2023-01-03 15:06:00,2023-01-03 15:40:00,5130,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,34.0
ODT904,2023-01-04 16:23:00,2023-01-04 16:54:00,3920,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,31.0
ODT904,2023-01-06 14:16:00,2023-01-06 15:02:00,6410,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,46.0
ODT904,2023-01-08 12:13:00,2023-01-08 12:40:00,3470,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,27.0
ODT904,2022-03-23 09:32:35,2022-03-23 10:29:19,6810,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,56.733333333333334
ODT904,2022-03-28 12:04:51,2022-03-28 12:40:17,6750,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,35.43333333333333
ODT904,2022-03-29 15:04:54,2022-03-29 15:40:47,3220,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,35.88333333333333
ODT904,2022-04-01 14:56:17,2022-04-01 15:30:22,5540,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,34.083333333333336
ODT904,2022-04-05 15:08:45,2022-04-05 15:32:55,6460,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.166666666666668
ODT904,2022-04-08 14:58:55,2022-04-08 15:36:09,5760,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,37.233333333333334
ODT904,2022-04-12 13:39:20,2022-04-12 14:06:29,5300,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,27.15
ODT904,2022-04-16 07:22:32,2022-04-16 07:44:45,4070,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.216666666666665
ODT904,2022-04-19 14:23:28,2022-04-19 14:57:27,5560,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,33.983333333333334
ODT904,2022-04-20 16:58:47,2022-04-20 17:29:55,3130,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,31.133333333333333
